orcid,predicted_faculties,prediction_confidence
0000-0001-5005-6510,mint,0.95
0000-0001-5019-5844,mint,0.95
0000-0001-5030-8095,phil,0.95
0000-0001-5033-8737,mint,0.95
0000-0001-5039-3779,sowi,0.95
0000-0001-5043-9052,med,1
0000-0001-5044-7079,mint,1
0000-0001-5053-3700,sowi,0.95
0000-0001-5055-0180,mint,1
0000-0001-5057-0085,sowi,1
0000-0001-5057-9709,mint,0.85
0000-0001-5058-3089,phil,0.95
0000-0001-5066-3564,sowi,0.95
0000-0001-5066-9704,sowi,1
0000-0001-5077-3835,sowi,0.95
0000-0001-5085-1127,mint,1
0000-0001-5088-5087,sowi,0.95
0000-0001-5093-4539,med,1
0000-0001-5098-6902,sowi,0.95
0000-0001-5099-6115,mint,1
0000-0001-5103-9966,med,1
0000-0001-5104-2030,mint,0.95
0000-0001-5104-4693,mint,1
0000-0001-5107-0090,mint,1
0000-0001-5108-2278,mint,1
0000-0001-5109-7904,phil,0.95
0000-0001-5124-0897,med,1
0000-0001-5126-045X,rewi,0.95
0000-0001-5132-2956,mint,0.95
0000-0001-5133-1537,mint,1
0000-0001-5135-7489,mint,0.95
0000-0001-5138-564X,mint,1
0000-0001-5140-7511,sowi,0.95
0000-0001-5142-328X,med,1
0000-0001-5143-1386,phil,0.95
0000-0001-5147-2292,sowi,1
0000-0001-5147-954X,tech,1
0000-0001-5151-5838,med,1
0000-0001-5154-9886,mint,1
0000-0001-5156-5376,sowi,0.95
0000-0001-5160-6385,mint,1
0000-0001-5161-4529,mint,0.95
0000-0001-5163-1150,mint,1
0000-0001-5178-8297,med,1
0000-0001-5185-3415,mint,0.95
0000-0001-5197-6562,mint,1
0000-0001-5209-3083,sowi,0.95
0000-0001-5209-6647,med,1
0000-0001-5211-1317,phil,0.95
0000-0001-5219-7974,med,1
0000-0001-5224-5227,sowi,0.95
0000-0001-5228-8980,sowi,0.95
0000-0001-5236-2482,sowi,0.95
0000-0001-5236-5026,mint,1
0000-0001-5242-4495,mint,1
0000-0001-5246-7786,sowi,0.95
0000-0001-5246-944X,mint,0.95
0000-0001-5248-4332,med,1
0000-0001-5256-4682,med,0.95
0000-0001-5258-2370,med,1
0000-0001-5259-7425,med,1
0000-0001-5274-1781,mint,1
0000-0001-5278-8379,agrar,1
0000-0001-5287-7400,agrar,0.95
0000-0001-5288-4993,med,1
0000-0001-5292-1758,med,1
0000-0001-5295-2204,phil,0.95
0000-0001-5305-0544,mint,0.95
0000-0001-5306-8875,sowi,0.95
0000-0001-5329-0484,agrar,0.95
0000-0001-5336-1422,mint,1
0000-0001-5339-1103,agrar,1
0000-0001-5343-8194,agrar,0.95
0000-0001-5345-1831,phil,0.85
0000-0001-5350-3371,med,1
0000-0001-5352-8595,med,1
0000-0001-5354-3541,sowi,1
0000-0001-5355-0426,mint,1
0000-0001-5358-6445,med,0.95
0000-0001-5359-8243,med,0.95
0000-0001-5364-166X,phil,1
0000-0001-5368-7641,agrar,0.95
0000-0001-5386-6746,mint,0.95
0000-0001-5391-6934,mint,1
0000-0001-5391-7902,mint,0.95
0000-0001-5393-1608,mint,1
0000-0001-5418-0949,med,1
0000-0001-5425-3466,sowi,1
0000-0001-5426-1079,agrar,0.95
0000-0001-5426-4552,sowi,0.95
0000-0001-5429-118X,agrar,0.95
0000-0001-5432-1502,mint,0.95
0000-0001-5435-1488,sowi,0.95
0000-0001-5438-4546,mint,1
0000-0001-5438-8555,med,1
0000-0001-5444-2945,mint,0.95
0000-0001-5445-7629,agrar,0.95
0000-0001-5450-021X,sowi,0.95
0000-0001-5452-8896,mint,0.95
0000-0001-5454-0297,mint,1
0000-0001-5462-6621,med,0.95
0000-0001-5465-2926,med,1
0000-0001-5465-5609,med,1
0000-0001-5467-2783,med,1
0000-0001-5469-2506,mint,0.95
0000-0001-5485-2645,sowi,0.95
0000-0001-5488-0304,med,1
0000-0001-5493-451X,med,1
0000-0001-5493-7964,med,1
0000-0001-5498-1519,med,1
0000-0001-5500-0487,sowi,0.95
0000-0001-5503-3801,med,1
0000-0001-5504-3487,mint,0.95
0000-0001-5515-8196,med,1
0000-0001-5518-3375,sowi,0.95
0000-0001-5521-1954,sowi,1
0000-0001-5524-2099,med,1
0000-0001-5525-4209,sowi,0.95
0000-0001-5536-6681,mint,1
0000-0001-5554-0897,mint,0.95
0000-0001-5556-3845,phil,0.95
0000-0001-5556-6376,mint,1
0000-0001-5560-2015,sowi,0.95
0000-0001-5561-2985,med,0.95
0000-0001-5564-3669,sowi,0.95
0000-0001-5570-2753,mint,1
0000-0001-5573-8182,agrar,1
0000-0001-5575-1168,mint,0.95
0000-0001-5583-895X,med,1
0000-0001-5585-1169,sowi,0.95
0000-0001-5586-0591,mint,1
0000-0001-5591-1993,mint,0.95
0000-0001-5592-8373,med,1
0000-0001-5594-4541,med,1
0000-0001-5596-9976,mint,0.95
0000-0001-5598-5327,agrar,0.95
0000-0001-5602-3672,med,1
0000-0001-5602-7710,med,0.95
0000-0001-5608-4336,phil,0.95
0000-0001-5613-7573,med,0.95
0000-0001-5618-1697,sowi,0.95
0000-0001-5624-5128,mint,0.95
0000-0001-5626-1216,mint,0.95
0000-0001-5626-3991,agrar,0.95
0000-0001-5631-2415,med,1
0000-0001-5633-0154,sowi,0.95
0000-0001-5646-3299,mint,0.95
0000-0001-5646-5702,sowi,0.9
0000-0001-5651-0470,mint,1
0000-0001-5653-2469,sowi,1
0000-0001-5655-3155,med,1
0000-0001-5658-3960,med,1
0000-0001-5661-0332,sowi,0.95
0000-0001-5662-1760,phil,1
0000-0001-5662-5710,sowi,0.95
0000-0001-5665-0385,med,0.95
0000-0001-5675-9866,sowi,0.95
0000-0001-5689-4574,med,1
0000-0001-5691-1215,tech,1
0000-0001-5695-9913,sowi,1
0000-0001-5705-1659,med,0.95
0000-0001-5709-0965,mint,1
0000-0001-5711-6862,sowi,0.95
0000-0001-5714-4011,phil,0.95
0000-0001-5718-577X,med,1
0000-0001-5718-7329,sowi,0.95
0000-0001-5721-3814,sowi,1
0000-0001-5729-4482,mint,1
0000-0001-5731-1975,phil,0.95
0000-0001-5732-8718,sowi,0.95
0000-0001-5736-1948,mint,1
0000-0001-5736-2772,med,1
0000-0001-5736-4452,mint,1
0000-0001-5744-4946,med,0.95
0000-0001-5750-7425,mint,1
0000-0001-5758-2249,mint,1
0000-0001-5760-4524,mint,0.95
0000-0001-5766-1609,med,1
0000-0001-5782-3292,mint,0.95
0000-0001-5783-950X,mint,1
0000-0001-5784-7964,med,0.95
0000-0001-5789-7582,mint,0.98
0000-0001-5790-3268,mint,0.95
0000-0001-5805-3031,phil,0.95
0000-0001-5806-4662,med,0.95
0000-0001-5806-9674,mint,1
0000-0001-5814-2421,mint,0.95
0000-0001-5815-1619,sowi,1
0000-0001-5822-4486,sowi,0.95
0000-0001-5824-7725,mint,1
0000-0001-5825-4407,med,1
0000-0001-5829-373X,sowi,0.95
0000-0001-5837-1312,phil,0.95
0000-0001-5851-0570,med,1
0000-0001-5856-2020,sowi,0.95
0000-0001-5860-2184,med,0.95
0000-0001-5860-4454,mint,1
0000-0001-5863-9366,mint,1
0000-0001-5865-3272,mint,1
0000-0001-5867-9827,sowi,0.95
0000-0001-5874-756X,mint,1
0000-0001-5881-681X,sowi,0.9
0000-0001-5890-8773,mint,0.95
0000-0001-5891-7290,agrar,1
0000-0001-5896-9875,sowi,0.95
0000-0001-5897-2361,phil,1
0000-0001-5901-3234,med,1
0000-0001-5904-0486,med,1
0000-0001-5905-1142,agrar,0.95
0000-0001-5907-5398,med,1
0000-0001-5909-5508,med,1
0000-0001-5911-2718,sowi,0.95
0000-0001-5911-3315,sowi,0.95
0000-0001-5921-1660,mint,0.95
0000-0001-5923-5291,agrar,1
0000-0001-5925-314X,mint,1
0000-0001-5931-0511,mint,0.95
0000-0001-5944-2637,sowi,0.95
0000-0001-5961-7644,agrar,1
0000-0001-5964-954X,med,1
0000-0001-5968-9277,mint,1
0000-0001-5969-3428,med,1
